F_CdSiteHy;X;Y;25/05/2012;25/06/2012;25/07/2012;25/08/2012;25/09/2012;25/05/2013;25/06/2013;25/07/2013;25/08/2013;25/09/2013;25/05/2014;25/06/2014;25/07/2014;25/08/2014;25/09/2014;25/05/2015;25/06/2015;25/07/2015;25/08/2015;25/09/2015;25/05/2016;25/06/2016;25/07/2016;25/08/2016;25/09/2016;25/10/2016;25/11/2016
A6300001;980631.603;6818505.625;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A6300002;982286.9784;6817329.719;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A6320001;973874.3409;6828942.597;1;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;0;0;NA;NA
A6320002;970488.9302;6830496.163;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A6431121;987206.9906;6838977.643;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A6500001;975759.2388;6842163.809;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A6550001;967662.3463;6839662.573;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A6600001;985570.6;6799959;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A6731221;963725.2711;6825117.759;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;NA;NA
A6731222;960119.5675;6824670.513;1;1;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;1;0;NA;NA
A6812011;975679.7627;6846683.373;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A6812012;971643.5979;6847164.46;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A6850001;955555.7538;6843398.992;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A6910001;951341.1759;6848795.564;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;NA;NA
A6921011;938315.3156;6839333.614;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A7020001;929030.1219;6865130.676;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;NA;NA
A7122011;913148.815;6863112.149;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A7122012;915417.7717;6865619.615;1;1;1;0;0;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;0;NA;NA
A7213011;917758.3013;6874412.479;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A7300001;898096.8699;6861029.842;NA;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;0;0;NA;NA
A7310001;904333.1482;6869414.317;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A7420001;923536.6344;6898511.227;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A7530001;976714.1599;6869692.034;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
