HER1;Date;%_Assec;Freq_j+6;Freq_j+5;Freq_j+4;Freq_j+3;Freq_j+2;Freq_j+1;Freq_j;Freq_j-1;Freq_j-2;Freq_j-3;Freq_j-4;Freq_j-5;Freq_j-6
2;26-06-2014;0;0.832100569603165;0.806909426048354;0.787387508631256;0.779174409789338;0.797820750973032;0.816812997656121;0.768152114747322;0.774492716534022;0.774492716534022;0.811542388486561;0.794286857434349;0.766384338780084;0.761642899671953
2;25-07-2014;0;0.646247299163515;0.721552086912268;0.77971572632766;0.716932869973264;0.786170883816724;0.855970471069463;0.798905009234548;0.747872380458597;0.747872380458597;0.74800041848152;0.768701375027775;0.754144751479559;0.707291586048545
2;25-08-2014;2.5;0.733306936304317;0.645706217013072;0.616447908667573;0.58100346946626;0.557871061459321;0.537947484571257;0.530716434389313;0.661519308328774;0.661519308328774;0.594765114792718;0.565430979937258;0.546387716617647;0.525738169026872
2;26-09-2014;4.8780487804878;0.578274256756272;0.469561049680196;0.442939277531019;0.41257300632919;0.437891954474754;0.468677279547567;0.406966449441746;0.365664079519851;0.365664079519851;0.357515737079398;0.412888145253586;0.468260654494107;0.379837790446245
3;25-05-2014;0;0.423598884270454;0.411964065423942;0.416580063691235;0.45536613206649;0.488622002665702;0.513854316285535;0.475382500199927;0.648082389782745;0.648082389782745;0.591822478341172;0.537966901826006;0.512182066661589;0.491699336944725
3;25-06-2014;4.71698113207547;0.335015690169272;0.316024406500504;0.302088028656296;0.294824638892591;0.294698323159237;0.294324530246197;0.287144947561835;0.268821980711742;0.268821980711742;0.283002806032103;0.336361958643538;0.313047622270036;0.333838413621737
3;25-07-2014;0;0.496404972105333;0.595680758087549;0.677045965593404;0.648565627810887;0.596750562044212;0.562344437003751;0.551500445134142;0.536467840533902;0.536467840533902;0.565781349740094;0.65355037371237;0.64669100496963;0.602878142615053
3;26-08-2014;0;0.46155047725585;0.444201888307089;0.427785204668786;0.412712579428397;0.39893928582037;0.389949125345113;0.400603725185171;0.394464795083684;0.394464795083684;0.401866718406672;0.400433951522306;0.375502516803442;0.359904870123193
3;25-09-2014;0.471698113207547;0.371052826043908;0.400638800719739;0.377262794779032;0.363357249395457;0.34208404002361;0.330060250499819;0.320066688436566;0.298236880195739;0.298236880195739;0.298404315085969;0.324161184809307;0.340852640282564;0.35022863310421
4;26-05-2014;0;0.34701078823106;0.32845969381709;0.363546372915735;0.506326349142302;0.535970807533343;0.471664050680305;0.454750223230351;0.388525143167683;0.388525143167683;0.365109155606931;0.345688638153088;0.328309524822154;0.308711763232605
4;26-06-2014;14.2857142857143;0.149387818987484;0.141869070400622;0.136436102102168;0.135590159834531;0.143604751560359;0.133680725162397;0.12435911762033;0.150483247181903;0.150483247181903;0.243961660468853;0.265359028887992;0.192937966608142;0.149218538006594
4;25-07-2014;2.04081632653061;0.235913796115552;0.29881687928258;0.513381445999048;0.622478577665333;0.58293125686576;0.484460408292348;0.44108179736602;0.435231450033988;0.435231450033988;0.470598370065831;0.667236203557291;0.750641121568029;0.725858630083207
4;25-08-2014;0;0.484480025627324;0.452635653387714;0.422831432731;0.395255890249621;0.3825827226033;0.397844189104207;0.44019505734341;0.741096831335856;0.741096831335856;0.663996269824825;0.580569060149693;0.534964827642613;0.513516707197825
4;25-09-2014;0;0.230688712963064;0.216963146053937;0.269000695100274;0.381396360229301;0.318604033268265;0.257911920886087;0.246515488100561;0.214308111248033;0.214308111248033;0.201177316364773;0.190126621264499;0.179239795853826;0.168895157090045
5;26-05-2014;0;0.440469763368918;0.416049788435274;0.541965758186976;0.772924539025036;0.756084523141868;0.685001220614383;0.727564245209866;0.812492497710059;0.812492497710059;0.73019812091354;0.653550475066004;0.596499566094357;0.547282022128672
5;25-06-2014;5.26315789473684;0.253998371202271;0.239456142264452;0.227475385869603;0.217372902004606;0.211811970566945;0.212826614238158;0.207249997727629;0.18342047148175;0.18342047148175;0.220185755422649;0.345725435557211;0.351013267036337;0.314774558398752
5;25-07-2014;0;0.528344710600726;0.576859171966912;0.784382021660142;0.892111123183568;0.870017616447277;0.806787796339375;0.765740225878318;0.703223463045867;0.703223463045867;0.705333971892885;0.847090991901459;0.896788886233886;0.872009046892826
5;25-08-2014;0.657894736842105;0.661137098815322;0.603688634586417;0.552146574225696;0.509851433631553;0.477963305947754;0.465236219759316;0.480060405746989;0.699574318183415;0.699574318183415;0.638044786315175;0.57129748924138;0.533271413812733;0.493062265576866
5;26-09-2014;2.63157894736842;0.304743693890603;0.318612392712484;0.367612485762544;0.326536893224353;0.306103239416493;0.324874607922374;0.291370449718531;0.242544773992836;0.242544773992836;0.226654725851378;0.217229389294558;0.210164157407342;0.195641505902307
6;24-05-2014;10.2325581395349;0.505053175537684;0.534209502855761;0.548856278093456;0.526487520154001;0.524599651396855;0.528313789367482;0.521304661864721;0.509766665099133;0.509766665099133;0.509623331248717;0.490447994005101;0.490872470856093;0.481716719026354
6;24-06-2014;20.0913242009132;0.4631994530937;0.473237981619551;0.456086218388755;0.444781580708834;0.434215826570546;0.427097917358824;0.434921666222871;0.452936681197905;0.452936681197905;0.44401169787076;0.430885985579507;0.433348723152428;0.435473869604835
6;24-07-2014;16.9154228855721;0.38774844808085;0.382853214990668;0.386227771846937;0.398395133480559;0.388773571692057;0.381707701454508;0.381872928840498;0.413108018971633;0.413108018971633;0.398515150861858;0.393859056658393;0.405486270789157;0.386373094347597
6;25-08-2014;28.8990825688073;0.361854908171043;0.342649143699248;0.339653645797708;0.355218018470837;0.387142972849507;0.362798004570683;0.351516451344577;0.342358604720189;0.342358604720189;0.339995142091814;0.334908917534714;0.330470228692946;0.327895489351359
6;25-09-2014;15.0684931506849;0.426193649291068;0.405500755469674;0.376459959863002;0.36046214858751;0.354879097491621;0.359837475448762;0.39284666463498;0.347819905129621;0.347819905129621;0.415207637938869;0.507837921157548;0.604406213783871;0.61426585551902
7;26-05-2014;1.49253731343284;0.421115202438668;0.412214594598458;0.451686116256092;0.589302938648884;0.525120793011863;0.478241435830882;0.484424286444997;0.488431716741538;0.488431716741538;0.474846028268978;0.498153176685877;0.535564819609737;0.51891531498402
7;25-06-2014;4.47761194029851;0.444801963705911;0.4133161411638;0.396569045898171;0.38285269529041;0.370927212147591;0.395387860828181;0.459402745645917;0.394256388557068;0.394256388557068;0.395488385669172;0.462931654869393;0.408560228045317;0.384129433190792
7;24-07-2014;7.46268656716418;0.365673694807505;0.347876091141879;0.369835151638381;0.48845065247711;0.45544550612844;0.447670549176838;0.47642950292602;0.471642076870779;0.471642076870779;0.428198274887057;0.413536097908896;0.457056570043398;0.496049522893488
7;25-08-2014;18.0327868852459;0.460079106833099;0.386370523284259;0.353953806288561;0.337489354734688;0.323301609787713;0.309952306584022;0.297755913436184;0.286760880443001;0.286760880443001;0.272657715829738;0.262349665938074;0.253636340314269;0.2453511102039
7;25-09-2014;23.8805970149254;0.404370295969653;0.503090450165522;0.39456074152852;0.353714714450918;0.332052862877349;0.326579370762671;0.343606498163692;0.295472365390358;0.295472365390358;0.281150055121012;0.272394232547131;0.289059473745242;0.307444229767253
8;23-05-2014;1.2987012987013;0.297970350569835;0.291331847155109;0.33769063938176;0.431818718210273;0.432274422308643;0.531602619578259;0.550945602292096;0.474171296701946;0.474171296701946;0.456414238166249;0.44885702706314;0.429665351088946;0.413582172612078
8;24-06-2014;11.6883116883117;0.237839150557544;0.239894275300142;0.230437766137484;0.222920159383361;0.217506082863146;0.213493431733184;0.239206986861139;0.247816861050057;0.247816861050057;0.226438911114701;0.258486195372882;0.318666471623719;0.263639217134107
